-50.175259	-142.322281	-1118.998047	
-52.050800	-140.664566	-1118.769287	
-51.480862	-140.726212	-1119.154663	
-45.465832	-141.236359	-1118.190308	
79.611237	-147.017822	-1091.260986	
83.303040	-147.292892	-1090.642334	
-53.451237	-139.808197	-1119.726929	
-52.144203	-139.944473	-1119.726074	
-51.412563	-139.919052	-1118.304443	
-50.859463	-140.118103	-1119.498901	
-45.417168	-140.414612	-1117.301636	
-44.208153	-140.555130	-1117.775146	
-43.544628	-140.600876	-1117.370605	
41.884487	-144.672226	-1099.385498	
55.097618	-145.231552	-1096.308960	
56.412647	-145.275909	-1096.031372	
61.373699	-145.523544	-1095.034180	
64.397758	-145.641815	-1094.130493	
65.667503	-145.774139	-1094.474121	
66.339157	-145.748184	-1093.769531	
67.015205	-145.790771	-1093.790405	
70.692307	-146.024765	-1093.350464	
72.629013	-146.034851	-1092.405273	
75.914886	-146.166138	-1091.922363	
81.555351	-146.446091	-1090.709595	
82.140785	-146.545853	-1090.634033	
82.720970	-146.610596	-1090.636841	
87.232002	-146.843079	-1089.839722	
-53.346703	-138.864929	-1118.461670	
-52.895260	-139.273300	-1120.145142	
-51.566135	-139.348053	-1119.656982	
-50.860962	-139.307983	-1118.402588	
-48.938206	-139.413269	-1117.299194	
-48.531872	-139.574341	-1118.223267	
-47.981865	-139.589844	-1118.162964	
-47.380566	-139.580475	-1117.867798	
-46.725491	-139.670898	-1117.654053	
-46.102642	-139.643051	-1117.293823	
-45.484573	-139.754929	-1117.291138	
-44.182545	-139.772430	-1116.745972	
-43.604836	-139.891495	-1117.002197	
-41.420723	-140.038101	-1116.568726	
41.246696	-143.906998	-1099.198486	
41.878811	-143.907669	-1098.905640	
43.203838	-144.037842	-1098.957764	
43.881973	-144.036743	-1098.587646	
44.531727	-144.061096	-1098.528809	
45.156803	-144.071609	-1098.018066	
54.409454	-144.479263	-1096.262817	
55.078102	-144.492554	-1096.053711	
55.767395	-144.591202	-1096.060425	
56.396496	-144.598770	-1096.050293	
58.732296	-144.689880	-1095.556885	
59.385334	-144.712952	-1095.118286	
61.349949	-144.774963	-1094.504028	
63.266960	-144.944778	-1094.442627	
63.824833	-144.954269	-1094.426392	
64.391563	-144.932999	-1094.236694	
65.017593	-145.081863	-1094.470215	
65.663437	-145.010635	-1093.755127	
